Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 
(s)	 (m) 	(m) 	(m) 	(m) 	(m) 	(m) 	
0.0563408	 179.55	 -305.69	 -13.44	 29.9995	 -51.5	 -28.7591	 
0.0677102	 179.55	 -305.69	 -13.44	 29.9994	 -51.5	 -28.759	 
0.0677102	 179.55	 -305.69	 -13.44	 29.9992	 -51.5	 -28.7587	 
0.0677102	 179.55	 -305.69	 -13.44	 29.9992	 -51.5	 -28.7587	 
0.0814204	 179.55	 -305.69	 -13.44	 29.9992	 -51.5	 -28.7586	 
0.0814204	 179.55	 -305.69	 -13.44	 29.9989	 -51.5	 -28.7581	 
0.0814204	 179.55	 -305.69	 -13.44	 29.9989	 -51.5	 -28.7581	 
0.0978236	 179.55	 -305.69	 -13.44	 29.9988	 -51.5	 -28.758	 
0.0978236	 179.55	 -305.69	 -13.44	 29.9984	 -51.5	 -28.7572	 
0.0978236	 179.55	 -305.69	 -13.44	 29.9984	 -51.5	 -28.7572	 
0.117436	 179.55	 -305.69	 -13.44	 29.9983	 -51.5	 -28.757	 
0.117436	 179.55	 -305.69	 -13.44	 29.9977	 -51.5	 -28.7559	 
0.117436	 179.55	 -305.69	 -13.44	 29.9977	 -51.5	 -28.7559	 
0.140661	 179.55	 -305.69	 -13.44	 29.9976	 -51.5	 -28.7558	 
0.140661	 179.55	 -305.69	 -13.44	 29.9967	 -51.5	 -28.7542	 
0.140661	 179.55	 -305.69	 -13.44	 29.9967	 -51.5	 -28.7542	 
0.168382	 179.55	 -305.69	 -13.44	 29.9965	 -51.5	 -28.7539	 
0.168382	 179.55	 -305.69	 -13.44	 29.9952	 -51.5	 -28.7517	 
0.168382	 179.55	 -305.69	 -13.44	 29.9952	 -51.5	 -28.7517	 
0.201647	 179.55	 -305.69	 -13.44	 29.995	 -51.5	 -28.7513	 
0.201647	 179.55	 -305.69	 -13.44	 29.9932	 -51.5001	 -28.748	 
0.201647	 179.55	 -305.69	 -13.44	 29.9932	 -51.5001	 -28.748	 
0.241564	 179.55	 -305.69	 -13.44	 29.9928	 -51.5001	 -28.7475	 
0.241564	 179.55	 -305.69	 -13.44	 29.9902	 -51.5001	 -28.7428	 
0.241564	 179.55	 -305.69	 -13.44	 29.9902	 -51.5001	 -28.7428	 
0.288967	 179.55	 -305.69	 -13.44	 29.9897	 -51.5001	 -28.742	 
0.288967	 179.55	 -305.69	 -13.44	 29.986	 -51.5001	 -28.7355	 
0.288967	 179.55	 -305.69	 -13.44	 29.986	 -51.5001	 -28.7355	 
0.343662	 179.55	 -305.69	 -13.44	 29.9854	 -51.5001	 -28.7345	 
0.343662	 179.55	 -305.69	 -13.44	 29.9803	 -51.5002	 -28.7256	 
0.343662	 179.55	 -305.69	 -13.44	 29.9803	 -51.5002	 -28.7256	 
0.421831	 179.55	 -305.69	 -13.44	 29.9783	 -51.5002	 -28.722	 
0.421831	 179.55	 -305.69	 -13.44	 29.9692	 -51.5002	 -28.7062	 
0.421831	 179.55	 -305.69	 -13.44	 29.9691	 -51.5002	 -28.706	 
