Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 
(s)	 (m) 	(m) 	(m) 	(m) 	(m) 	(m) 	
0	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.000120005	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.000120005	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.000120005	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.000264017	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.000264017	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.000264017	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.000436833	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.000436833	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.000436833	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.000644211	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.000644211	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.000644211	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.000893055	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.000893055	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.000893055	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.00119165	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.00119165	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.00119165	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.0015499	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.0015499	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.0015499	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.00197972	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.00197972	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.00197972	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.00249549	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.00249549	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.00249549	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.00311429	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.00311429	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.00311429	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.00385657	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.00385657	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.00385657	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.00474757	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.00474757	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.00474757	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.00581659	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.00581659	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.00581659	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.00709941	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.00709941	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.00709941	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.00863879	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.00863879	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.00863879	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.0104849	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.0104849	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.0104849	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.0126986	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.0126986	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.0126986	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.0153526	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.76	 
0.0153526	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.7599	 
0.0153526	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.7599	 
0.0185392	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.7599	 
0.0185392	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.7599	 
0.0185392	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.7599	 
0.0223581	 175.91	 303.66	 -13.58	 29.3	 51.5	 -28.7599	 
0.0223581	 175.91	 303.66	 -13.58	 29.2999	 51.5	 -28.7599	 
0.0223581	 175.91	 303.66	 -13.58	 29.2999	 51.5	 -28.7599	 
0.026948	 175.91	 303.66	 -13.58	 29.2999	 51.5	 -28.7598	 
0.026948	 175.91	 303.66	 -13.58	 29.2999	 51.5	 -28.7598	 
0.026948	 175.91	 303.66	 -13.58	 29.2999	 51.5	 -28.7598	 
0.0324454	 175.91	 303.66	 -13.58	 29.2999	 51.5	 -28.7598	 
0.0324454	 175.91	 303.66	 -13.58	 29.2999	 51.5	 -28.7597	 
0.0324454	 175.91	 303.66	 -13.58	 29.2999	 51.5	 -28.7597	 
0.0390274	 175.91	 303.66	 -13.58	 29.2998	 51.5	 -28.7597	 
0.0390274	 175.91	 303.66	 -13.58	 29.2998	 51.5	 -28.7595	 
0.0390274	 175.91	 303.66	 -13.58	 29.2998	 51.5	 -28.7595	 
0.0469043	 175.91	 303.66	 -13.58	 29.2998	 51.5	 -28.7595	 
0.0469043	 175.91	 303.66	 -13.58	 29.2997	 51.5	 -28.7593	 
0.0469043	 175.91	 303.66	 -13.58	 29.2997	 51.5	 -28.7593	 
0.0563408	 175.91	 303.66	 -13.58	 29.2997	 51.5	 -28.7593	 
0.0563408	 175.91	 303.66	 -13.58	 29.2996	 51.5	 -28.7591	 
0.0563408	 175.91	 303.66	 -13.58	 29.2996	 51.5	 -28.7591	 
0.0677102	 175.91	 303.66	 -13.58	 29.2995	 51.5	 -28.759	 
0.0677102	 175.91	 303.66	 -13.58	 29.2993	 51.5	 -28.7586	 
0.0677102	 175.91	 303.66	 -13.58	 29.2993	 51.5	 -28.7586	 
0.0814204	 175.91	 303.66	 -13.58	 29.2993	 51.5	 -28.7586	 
0.0814204	 175.91	 303.66	 -13.58	 29.2991	 51.5	 -28.758	 
0.0814204	 175.91	 303.66	 -13.58	 29.2991	 51.5	 -28.758	 
0.0978236	 175.91	 303.66	 -13.58	 29.299	 51.5	 -28.7579	 
0.0978236	 175.91	 303.66	 -13.58	 29.2986	 51.5	 -28.7571	 
0.0978236	 175.91	 303.66	 -13.58	 29.2986	 51.5	 -28.7571	 
0.117436	 175.91	 303.66	 -13.58	 29.2986	 51.5	 -28.757	 
0.117436	 175.91	 303.66	 -13.58	 29.298	 51.5	 -28.7558	 
0.117436	 175.91	 303.66	 -13.58	 29.298	 51.5	 -28.7558	 
0.140661	 175.91	 303.66	 -13.58	 29.2979	 51.5	 -28.7556	 
0.140661	 175.91	 303.66	 -13.58	 29.2972	 51.5	 -28.754	 
0.140661	 175.91	 303.66	 -13.58	 29.2972	 51.5	 -28.754	 
0.168382	 175.91	 303.66	 -13.58	 29.297	 51.5	 -28.7538	 
0.168382	 175.91	 303.66	 -13.58	 29.2959	 51.5	 -28.7515	 
0.168382	 175.91	 303.66	 -13.58	 29.2959	 51.5	 -28.7515	 
0.201647	 175.91	 303.66	 -13.58	 29.2957	 51.5	 -28.751	 
0.201647	 175.91	 303.66	 -13.58	 29.2941	 51.5	 -28.7477	 
0.201647	 175.91	 303.66	 -13.58	 29.2941	 51.5	 -28.7477	 
0.241564	 175.91	 303.66	 -13.58	 29.2938	 51.4999	 -28.7471	 
0.241564	 175.91	 303.66	 -13.58	 29.2916	 51.4999	 -28.7424	 
0.241564	 175.91	 303.66	 -13.58	 29.2916	 51.4999	 -28.7424	 
0.288967	 175.91	 303.66	 -13.58	 29.2912	 51.4999	 -28.7416	 
0.288967	 175.91	 303.66	 -13.58	 29.2879	 51.4999	 -28.7348	 
0.288967	 175.91	 303.66	 -13.58	 29.2879	 51.4999	 -28.7348	 
0.343662	 175.91	 303.66	 -13.58	 29.2875	 51.4999	 -28.7339	 
0.343662	 175.91	 303.66	 -13.58	 29.2831	 51.4999	 -28.7247	 
0.343662	 175.91	 303.66	 -13.58	 29.2831	 51.4999	 -28.7247	 
0.421831	 175.91	 303.66	 -13.58	 29.2813	 51.4998	 -28.7211	 
0.421831	 175.91	 303.66	 -13.58	 29.2735	 51.4998	 -28.7048	 
0.421831	 175.91	 303.66	 -13.58	 29.2735	 51.4998	 -28.7047	 
0.5	 175.91	 303.66	 -13.58	 29.2735	 51.4998	 -28.7046	 
0.5	 175.91	 303.66	 -13.58	 29.2643	 51.4997	 -28.6852	 
0.5	 175.91	 303.66	 -13.58	 29.2643	 51.4997	 -28.6856	 
0.6	 175.91	 303.66	 -13.58	 29.262	 51.4997	 -28.6807	 
0.6	 175.91	 303.66	 -13.58	 29.248	 51.4996	 -28.6522	 
0.6	 175.91	 303.66	 -13.58	 29.248	 51.4996	 -28.6517	 
0.733333	 175.91	 303.66	 -13.58	 29.2436	 51.4996	 -28.6427	 
0.733333	 175.91	 303.66	 -13.58	 29.2207	 51.4994	 -28.5944	 
0.733333	 175.91	 303.66	 -13.58	 29.2207	 51.4994	 -28.5947	 
0.866667	 175.91	 303.66	 -13.58	 29.2207	 51.4994	 -28.5947	 
0.866667	 175.91	 303.66	 -13.58	 29.194	 51.4992	 -28.5388	 
0.866667	 175.91	 303.66	 -13.58	 29.1941	 51.4992	 -28.5398	 
1	 175.91	 303.66	 -13.58	 29.1942	 51.4992	 -28.5399	 
1	 175.91	 303.66	 -13.58	 29.1642	 51.499	 -28.4788	 
1	 175.91	 303.66	 -13.58	 29.1642	 51.499	 -28.4785	 
1.11111	 175.91	 303.66	 -13.58	 29.1689	 51.499	 -28.4882	 
1.11111	 175.91	 303.66	 -13.58	 29.1418	 51.4988	 -28.4326	 
1.11111	 175.91	 303.66	 -13.58	 29.1418	 51.4988	 -28.433	 
